PG_Name,Country,City,Price_per_Month
Aurora Haven 571,USA,Seattle,8000
Harmony Habitat 829,UK,London,15000
Sky Stay 744,UK,London,30000
Lotus Suites 260,UK,London,15000
Silver Nest 903,UK,London,8000
Pearl Heights 981,UK,London,20000
Golden Homes 90,UK,Manchester,10000
Prime Nest 85,UK,Manchester,8000
Lotus Nest 575,UK,Manchester,25000
Sunset Suites 338,UK,Manchester,10000
Sunset Haven 239,UK,Manchester,6000
Blue Villa 787,UK,Liverpool,20000
Royal Homes 294,UK,Liverpool,6000
Prime Habitat 212,UK,Liverpool,15000
Sunset Habitat 252,UK,Liverpool,30000
Blue Heights 368,UK,Liverpool,8000
Crystal Stay 72,UK,Leeds,25000
Urban Suites 222,UK,Leeds,12000
Crystal Homes 542,UK,Leeds,25000
Sky Nest 246,UK,Leeds,25000
Urban Nest 513,UK,Leeds,6000
Oak Homes 788,UK,Birmingham,25000
Urban Residency 828,UK,Birmingham,15000
Silver Residency 162,UK,Birmingham,6000
Grand Heights 848,UK,Birmingham,6000
Oak Residency 893,UK,Birmingham,18000
Silver Haven 188,Canada,Toronto,15000
Emerald Homes 280,Canada,Toronto,18000
Metro Living 891,Canada,Toronto,20000
Silver Nest 976,Canada,Toronto,20000
Maple Stay 353,Canada,Toronto,10000
Lotus Homes 974,Canada,Vancouver,20000
Emerald Heights 432,Canada,Vancouver,6000
Sky Haven 671,Canada,Vancouver,15000
Emerald Stay 97,Canada,Vancouver,15000
Grand Living 219,Canada,Vancouver,30000
Pearl Residency 479,Canada,Calgary,20000
Vista Villa 59,Canada,Calgary,18000
Golden Stay 215,Canada,Calgary,10000
Aurora Suites 194,Canada,Calgary,30000
Elite Habitat 640,Canada,Calgary,12000
Elite Habitat 278,Canada,Ottawa,30000
Urban Habitat 979,Canada,Ottawa,20000
Oak Villa 12,Canada,Ottawa,20000
Pearl Suites 792,Canada,Ottawa,8000
Maple Stay 21,Canada,Ottawa,30000
Golden Villa 592,Canada,Montreal,6000
Elite Stay 434,Canada,Montreal,20000
Maple Stay 925,Canada,Montreal,25000
Oak Residency 523,Canada,Montreal,20000
Elite Habitat 473,Canada,Montreal,30000
Palm Stay 885,Australia,Sydney,20000
Aurora Suites 592,Australia,Sydney,12000
Elite Heights 619,Australia,Sydney,18000
Silver Living 843,Australia,Sydney,25000
Aurora Villa 597,Australia,Sydney,6000
Comfort Suites 555,Australia,Melbourne,15000
Crystal Suites 203,Australia,Melbourne,8000
Oak Suites 296,Australia,Melbourne,25000
Green Living 246,Australia,Melbourne,6000
Blue Residency 94,Australia,Melbourne,12000
Elite Heights 320,Australia,Perth,25000
Pearl Living 743,Australia,Perth,15000
Oak Nest 811,Australia,Perth,20000
Vista Homes 341,Australia,Perth,18000
Urban Homes 408,Australia,Perth,30000
Blue Haven 125,Australia,Brisbane,20000
Emerald Suites 504,Australia,Brisbane,20000
Royal Homes 32,Australia,Brisbane,30000
Royal Stay 258,Australia,Brisbane,6000
Prime Residency 850,Australia,Brisbane,25000
Serene Stay 528,Australia,Adelaide,30000
Pearl Homes 65,Australia,Adelaide,6000
Elite Villa 958,Australia,Adelaide,6000
Palm Homes 407,Australia,Adelaide,12000
Golden Habitat 823,Australia,Adelaide,15000
Blue Living 263,Germany,Berlin,6000
Urban Residency 668,Germany,Berlin,25000
Sky Stay 838,Germany,Berlin,10000
Golden Habitat 22,Germany,Berlin,10000
Green Nest 834,Germany,Berlin,12000
Blue Heights 110,Germany,Munich,12000
Golden Homes 523,Germany,Munich,30000
Grand Haven 53,Germany,Munich,18000
Urban Haven 765,Germany,Munich,15000
Comfort Heights 13,Germany,Munich,30000
Blue Suites 254,Germany,Frankfurt,25000
Maple Living 572,Germany,Frankfurt,8000
Sky Villa 393,Germany,Frankfurt,30000
Maple Nest 886,Germany,Frankfurt,30000
Metro Homes 413,Germany,Frankfurt,10000
Blue Suites 799,Germany,Hamburg,20000
Metro Residency 573,Germany,Hamburg,10000
Elite Villa 256,Germany,Hamburg,30000
Prime Nest 66,Germany,Hamburg,10000
Comfort Haven 664,Germany,Hamburg,20000
Green Living 393,Germany,Cologne,20000
Lotus Haven 952,Germany,Cologne,6000
Sunset Haven 267,Germany,Cologne,12000
Comfort Haven 957,Germany,Cologne,30000
Harmony Haven 614,Germany,Cologne,6000
Palm Suites 406,France,Paris,20000
Emerald Villa 440,France,Paris,18000
Serene Homes 59,France,Paris,18000
Sunset Habitat 689,France,Paris,20000
Crystal Suites 514,France,Paris,18000
Maple Living 637,France,Lyon,15000
Blue Residency 305,France,Lyon,25000
Urban Homes 387,France,Lyon,8000
Elite Stay 690,France,Lyon,12000
Urban Nest 909,France,Lyon,10000
Green Homes 307,France,Marseille,25000
Vista Residency 647,France,Marseille,25000
Grand Nest 857,France,Marseille,15000
Blue Homes 397,France,Marseille,12000
Crystal Habitat 704,France,Marseille,6000
Vista Haven 513,France,Nice,6000
Urban Nest 58,France,Nice,20000
Elite Habitat 476,France,Nice,30000
Green Nest 366,France,Nice,10000
Royal Living 834,France,Nice,30000
Prime Suites 767,France,Toulouse,20000
Grand Stay 445,France,Toulouse,12000
Emerald Heights 47,France,Toulouse,15000
Blue Haven 360,France,Toulouse,8000
Blue Living 825,France,Toulouse,12000
Prime Stay 205,Japan,Tokyo,25000
Golden Residency 515,Japan,Tokyo,20000
Lotus Habitat 159,Japan,Tokyo,8000
Lotus Stay 368,Japan,Tokyo,25000
Pearl Suites 553,Japan,Tokyo,15000
Silver Villa 225,Japan,Osaka,25000
Elite Nest 258,Japan,Osaka,18000
Green Stay 227,Japan,Osaka,6000
Sky Living 284,Japan,Osaka,18000
Palm Stay 370,Japan,Osaka,18000
Emerald Homes 421,Japan,Kyoto,10000
Urban Stay 207,Japan,Kyoto,8000
Harmony Heights 543,Japan,Kyoto,6000
Royal Haven 957,Japan,Kyoto,15000
Royal Nest 703,Japan,Kyoto,6000
Pearl Villa 104,Japan,Nagoya,20000
Elite Habitat 818,Japan,Nagoya,30000
Serene Homes 172,Japan,Nagoya,6000
Emerald Suites 539,Japan,Nagoya,15000
Golden Living 415,Japan,Nagoya,20000
Lotus Stay 998,Japan,Yokohama,15000
Elite Habitat 107,Japan,Yokohama,25000
Maple Habitat 781,Japan,Yokohama,20000
Aurora Living 997,Japan,Yokohama,20000
Oak Nest 904,Japan,Yokohama,12000
Serene Homes 280,Brazil,SaoPaulo,6000
Blue Nest 645,Brazil,SaoPaulo,8000
Urban Residency 909,Brazil,SaoPaulo,12000
Emerald Suites 377,Brazil,SaoPaulo,15000
Oak Homes 461,Brazil,SaoPaulo,8000
Golden Residency 520,Brazil,Rio,10000
Oak Haven 173,Brazil,Rio,25000
Urban Heights 835,Brazil,Rio,8000
Golden Heights 753,Brazil,Rio,25000
Royal Villa 277,Brazil,Rio,15000
Vista Heights 237,Brazil,Brasilia,6000
Golden Haven 197,Brazil,Brasilia,8000
Sky Heights 851,Brazil,Brasilia,30000
Golden Habitat 272,Brazil,Brasilia,20000
Elite Homes 702,Brazil,Brasilia,30000
Blue Residency 279,Brazil,Salvador,8000
Sunset Living 4,Brazil,Salvador,20000
Palm Villa 419,Brazil,Salvador,8000
Maple Haven 668,Brazil,Salvador,10000
Lotus Residency 840,Brazil,Salvador,30000
Blue Heights 996,Brazil,Fortaleza,8000
Pearl Haven 984,Brazil,Fortaleza,25000
Urban Suites 638,Brazil,Fortaleza,15000
Aurora Habitat 828,Brazil,Fortaleza,10000
Elite Stay 738,Brazil,Fortaleza,15000
Palm Haven 698,SouthAfrica,Johannesburg,20000
Metro Nest 455,SouthAfrica,Johannesburg,15000
Palm Nest 693,SouthAfrica,Johannesburg,30000
Aurora Nest 626,SouthAfrica,Johannesburg,18000
Emerald Suites 844,SouthAfrica,Johannesburg,15000
Palm Stay 528,SouthAfrica,CapeTown,30000
Palm Suites 923,SouthAfrica,CapeTown,18000
Green Residency 367,SouthAfrica,CapeTown,30000
Serene Suites 119,SouthAfrica,CapeTown,18000
Grand Habitat 962,SouthAfrica,CapeTown,30000
Vista Nest 928,SouthAfrica,Durban,8000
Grand Heights 638,SouthAfrica,Durban,12000
Lotus Homes 8,SouthAfrica,Durban,10000
Harmony Haven 257,SouthAfrica,Durban,18000
Silver Villa 4,SouthAfrica,Durban,10000
Elite Suites 942,SouthAfrica,Pretoria,12000
Sky Heights 648,SouthAfrica,Pretoria,20000
Palm Stay 548,SouthAfrica,Pretoria,15000
Elite Nest 43,SouthAfrica,Pretoria,15000
Maple Habitat 716,SouthAfrica,Pretoria,25000
Maple Habitat 198,SouthAfrica,PortElizabeth,25000
Maple Habitat 26,SouthAfrica,PortElizabeth,30000
Golden Villa 670,SouthAfrica,PortElizabeth,6000
Metro Haven 938,SouthAfrica,PortElizabeth,12000
Silver Suites 217,SouthAfrica,PortElizabeth,8000
